V1	C2	V3	C4
-0.00976592	-0.00323496	-0.00976592	-0.00323496
-0.00366222	-0.00122074	-0.00366222	-0.00122074
-0.00134281	-0.0004883	-0.00134281	-0.0004883
0.15402691	0.05059969	0.15402691	0.05059969
0.13495284	0.04425184	0.13495284	0.04425184
0.27021089	0.08847316	0.27021089	0.08847316
0.10177923	0.03317362	0.10177923	0.03317362
0.03836177	0.01242103	0.03836177	0.01242103
0.01443525	0.00463881	0.01443525	0.00463881
0.00540178	0.00173956	0.00540178	0.00173956
0.00201422	0.00070193	0.00201422	0.00070193
-0.17157505	-0.05615406	-0.17157505	-0.05615406
-0.15134129	-0.04968413	-0.15134129	-0.04968413
-0.35163426	-0.11566515	-0.35163426	-0.11566515
-0.13245033	-0.04351939	-0.13245033	-0.04351939
-0.04980621	-0.01644948	-0.04980621	-0.01644948
-0.01870785	-0.00634785	-0.01870785	-0.00634785
-0.00698874	-0.00241096	-0.00698874	-0.00241096
-0.00262459	-0.00100711	-0.00262459	-0.00100711
0.05386517	0.01782281	0.05386517	0.01782281
0.1454207	0.04766991	0.1454207	0.04766991
0.30564287	0.10016175	0.30564287	0.10016175
0.19483016	0.06369213	0.19483016	0.06369213
0.07333598	0.02401807	0.07333598	0.02401807
0.02764977	0.0089114	0.02764977	0.0089114
0.01037629	0.00332652	0.01037629	0.00332652
0.00390637	0.00119022	0.00390637	0.00119022
0.00143437	0.0004883	0.00143437	0.0004883
-0.17023225	-0.0557268	-0.17023225	-0.0557268
-0.14206366	-0.04638813	-0.14206366	-0.04638813
-0.25269327	-0.08304086	-0.25269327	-0.08304086
-0.09515671	-0.03128147	-0.09515671	-0.03128147
-0.03579821	-0.0118717	-0.03579821	-0.0118717
-0.01345866	-0.00442518	-0.01345866	-0.00442518
-0.00497452	-0.00183111	-0.00497452	-0.00183111
-0.00186163	-0.00067141	-0.00186163	-0.00067141
0.14517654	0.04773095	0.14517654	0.04773095
0.13956115	0.04589984	0.13956115	0.04589984
0.37223426	0.12198249	0.37223426	0.12198249
0.14020203	0.04586932	0.14020203	0.04586932
0.0527665	0.017304	0.0527665	0.017304
0.01989807	0.00643941	0.01989807	0.00643941
0.00750755	0.00231941	0.00750755	0.00231941
0.0028077	0.00079348	0.0028077	0.00079348
-0.07266457	-0.02377392	-0.07266457	-0.02377392
-0.15695669	-0.05151524	-0.15695669	-0.05151524
-0.31690419	-0.10409863	-0.31690419	-0.10409863
-0.18234809	-0.05993835	-0.18234809	-0.05993835
-0.06866664	-0.02255318	-0.06866664	-0.02255318
-0.02578814	-0.00863674	-0.02578814	-0.00863674
-0.0097354	-0.00314341	-0.0097354	-0.00314341
-0.00360118	-0.00134281	-0.00360118	-0.00134281
-0.0013123	-0.00057985	-0.0013123	-0.00057985
0.15005951	0.04919584	0.15005951	0.04919584
0.13632618	0.04477065	0.13632618	0.04477065
0.26862392	0.08798486	0.26862392	0.08798486
0.10113834	0.0331431	0.10113834	0.0331431
0.0380871	0.01242103	0.0380871	0.01242103
0.01431318	0.00463881	0.01431318	0.00463881
0.00537126	0.001648	0.00537126	0.001648
0.00204474	0.00054933	0.00204474	0.00054933
-0.1714835	-0.05618457	-0.1714835	-0.05618457
-0.14560381	-0.04791406	-0.14560381	-0.04791406
-0.34995574	-0.11511582	-0.34995574	-0.11511582
-0.13177893	-0.04333628	-0.13177893	-0.04333628
-0.04962309	-0.01623585	-0.04962309	-0.01623585
-0.01864681	-0.00613422	-0.01864681	-0.00613422
-0.00698874	-0.00228889	-0.00698874	-0.00228889
-0.00259407	-0.00091556	-0.00259407	-0.00091556
0.04733421	0.01544237	0.04733421	0.01544237
0.14429152	0.04730369	0.14429152	0.04730369
0.31232643	0.10235908	0.31232643	0.10235908
0.19336528	0.06326487	0.19336528	0.06326487
0.07284768	0.0237434	0.07284768	0.0237434
0.0273751	0.00900296	0.0273751	0.00900296
0.01031526	0.00335704	0.01031526	0.00335704
0.00390637	0.0011597	0.00390637	0.0011597
0.00140385	0.00045778	0.00140385	0.00045778
-0.16742454	-0.05496383	-0.16742454	-0.05496383
-0.14151433	-0.04635762	-0.14151433	-0.04635762
-0.25238806	-0.08307138	-0.25238806	-0.08307138
-0.09500412	-0.03137303	-0.09500412	-0.03137303
-0.03576769	-0.01178014	-0.03576769	-0.01178014
-0.0135197	-0.00424207	-0.0135197	-0.00424207
